,med_price,med_income,Latitude,Longitude,coast_dist,la_dist,sf_dist
0,452600.0,83252.0,37.88,-122.23,9.26304077285038,556.5291583418,21.2502137667799
1,358500.0,83013.99999999999,37.86,-122.22,10.2257330715424,554.279850068765,20.8806003997074
2,352100.0,72574.0,37.85,-122.24,8.25908510932293,554.610717069378,18.8114874496884
3,341300.0,56430.99999999999,37.85,-122.25,7.7680865708364,555.194266086292,18.0310475677266
4,342200.0,38462.0,37.85,-122.25,7.7680865708364,555.194266086292,18.0310475677266
5,269700.0,40368.00000000001,37.85,-122.25,7.7680865708364,555.194266086292,18.0310475677266
6,299200.0,36591.0,37.84,-122.25,6.843020847374979,554.3644069356479,17.5382099724981
7,241400.0,31200.0,37.84,-122.25,6.843020847374979,554.3644069356479,17.5382099724981
8,226700.0,20804.0,37.84,-122.26,6.363948012617691,554.949749518572,16.744406583506898
9,261100.0,36912.0,37.84,-122.25,6.843020847374979,554.3644069356479,17.5382099724981
10,281500.0,32031.0,37.85,-122.26,7.34962084160981,555.778657669268,17.2600320736199
11,241800.0,32705.000000000004,37.85,-122.26,7.34962084160981,555.778657669268,17.2600320736199
12,213500.0,30750.0,37.85,-122.26,7.34962084160981,555.778657669268,17.2600320736199
13,191300.0,26736.0,37.84,-122.26,6.363948012617691,554.949749518572,16.744406583506898
14,159200.0,19167.0,37.85,-122.26,7.34962084160981,555.778657669268,17.2600320736199
15,140000.0,21250.0,37.85,-122.26,7.34962084160981,555.778657669268,17.2600320736199
16,152500.0,27750.0,37.85,-122.27,7.0166772439486405,556.3638891571289,16.4997622031235
17,155500.0,21202.0,37.85,-122.27,7.0166772439486405,556.3638891571289,16.4997622031235
18,158700.0,19911.0,37.84,-122.26,6.363948012617691,554.949749518572,16.744406583506898
19,162900.0,26033.0,37.84,-122.27,5.97628805827603,555.535931447864,15.959483657221298
20,147500.0,13577.999999999998,37.85,-122.27,7.0166772439486405,556.3638891571289,16.4997622031235
21,159800.0,17135.0,37.85,-122.27,7.0166772439486405,556.3638891571289,16.4997622031235
22,113900.0,17250.0,37.84,-122.27,5.97628805827603,555.535931447864,15.959483657221298
23,99700.0,21806.0,37.84,-122.27,5.97628805827603,555.535931447864,15.959483657221298
24,132600.0,26000.0,37.84,-122.27,5.97628805827603,555.535931447864,15.959483657221298
25,107500.0,24038.0,37.85,-122.28,6.78186317450868,556.949957896058,15.7517939745031
26,93800.0,24597.000000000004,37.85,-122.28,6.78186317450868,556.949957896058,15.7517939745031
27,105500.0,18080.0,37.85,-122.28,6.78186317450868,556.949957896058,15.7517939745031
28,108900.0,16424.0,37.84,-122.28,5.69872690317439,556.1229500632211,15.184818393621
29,132000.0,16875.0,37.84,-122.28,5.69872690317439,556.1229500632211,15.184818393621
30,122300.0,19274.0,37.84,-122.28,5.69872690317439,556.1229500632211,15.184818393621
31,115200.0,19615.0,37.84,-122.28,5.69872690317439,556.1229500632211,15.184818393621
32,110400.0,17969.0,37.84,-122.27,5.97628805827603,555.535931447864,15.959483657221298
33,104900.0,13750.0,37.83,-122.27,4.967005194436769,554.708964381727,15.4803405231102
