,House_Value,Income,Age,Rooms_Per_House,Bedrooms_Per_House,Population_Per_House,Households,Latitude,Longitude,Distance_to_coast,Distance_to_LA,Distance_to_SanDiego,Distance_to_SanJose,Distance_to_SanFrancisco
0,452600.0,83252.0,41,6.984126984126984,1.0238095238095237,2.5555555555555554,126,37.88,-122.23,9263.04077285038,556529.1583418,735501.80698384,67432.5170008434,21250.2137667799
1,358500.0,83013.99999999999,21,6.238137082601054,0.9718804920913884,2.109841827768014,1138,37.86,-122.22,10225.7330715424,554279.850068765,733236.884360166,65049.9085739663,20880.6003997074
2,352100.0,72574.0,52,8.288135593220339,1.073446327683616,2.8022598870056497,177,37.85,-122.24,8259.08510932293,554610.717069378,733525.68293736,64867.2898334847,18811.4874496884
3,341300.0,56430.99999999999,52,5.8173515981735155,1.0730593607305936,2.547945205479452,219,37.85,-122.25,7768.0865708364,555194.266086292,734095.290744033,65287.1384120522,18031.0475677266
4,342200.0,38462.0,52,6.281853281853282,1.0810810810810811,2.1814671814671813,259,37.85,-122.25,7768.0865708364,555194.266086292,734095.290744033,65287.1384120522,18031.0475677266
5,269700.0,40368.00000000001,52,4.761658031088083,1.1036269430051813,2.139896373056995,193,37.85,-122.25,7768.0865708364,555194.266086292,734095.290744033,65287.1384120522,18031.0475677266
6,299200.0,36591.0,52,4.9319066147859925,0.9513618677042801,2.1284046692607004,514,37.84,-122.25,6843.02084737498,554364.406935648,733249.808577589,64315.9917419372,17538.2099724981
7,241400.0,31200.0,52,4.797527047913447,1.061823802163833,1.7882534775888717,647,37.84,-122.25,6843.02084737498,554364.406935648,733249.808577589,64315.9917419372,17538.2099724981
8,226700.0,20804.0,42,4.294117647058823,1.1176470588235294,2.026890756302521,595,37.84,-122.26,6363.94801261769,554949.749518572,733820.824419216,64751.4638629145,16744.4065835069
9,261100.0,36912.0,52,4.970588235294118,0.9901960784313726,2.172268907563025,714,37.84,-122.25,6843.02084737498,554364.406935648,733249.808577589,64315.9917419372,17538.2099724981
10,281500.0,32031.0,52,5.477611940298507,1.0796019900497513,2.263681592039801,402,37.85,-122.26,7349.62084160981,555778.657669268,734665.575038723,65716.117724091,17260.0320736199
11,241800.0,32705.000000000004,52,4.772479564032698,1.0245231607629428,2.0490463215258856,734,37.85,-122.26,7349.62084160981,555778.657669268,734665.575038723,65716.117724091,17260.0320736199
12,213500.0,30750.0,52,5.322649572649572,1.0128205128205128,2.3461538461538463,468,37.85,-122.26,7349.62084160981,555778.657669268,734665.575038723,65716.117724091,17260.0320736199
13,191300.0,26736.0,52,4.0,1.0977011494252873,1.9827586206896552,174,37.84,-122.26,6363.94801261769,554949.749518572,733820.824419216,64751.4638629145,16744.4065835069
14,159200.0,19167.0,52,4.262903225806451,1.0096774193548388,1.9548387096774194,620,37.85,-122.26,7349.62084160981,555778.657669268,734665.575038723,65716.117724091,17260.0320736199
15,140000.0,21250.0,50,4.242424242424242,1.071969696969697,2.640151515151515,264,37.85,-122.26,7349.62084160981,555778.657669268,734665.575038723,65716.117724091,17260.0320736199
16,152500.0,27750.0,52,5.9395770392749245,1.0483383685800605,2.395770392749245,331,37.85,-122.27,7016.67724394864,556363.889157129,735236.534241465,66154.0501389035,16499.7622031235
17,155500.0,21202.0,52,4.052805280528053,0.966996699669967,2.1386138613861387,303,37.85,-122.27,7016.67724394864,556363.889157129,735236.534241465,66154.0501389035,16499.7622031235
18,158700.0,19911.0,50,5.343675417661098,1.0859188544152745,2.3627684964200477,419,37.84,-122.26,6363.94801261769,554949.749518572,733820.824419216,64751.4638629145,16744.4065835069
19,162900.0,26033.0,52,5.465454545454546,1.0836363636363637,2.5090909090909093,275,37.84,-122.27,5976.28805827603,555535.931447864,734392.514953906,65195.9361857231,15959.4836572213
20,147500.0,13577.999999999998,40,4.524096385542169,1.108433734939759,2.463855421686747,166,37.85,-122.27,7016.67724394864,556363.889157129,735236.534241465,66154.0501389035,16499.7622031235
21,159800.0,17135.0,42,4.478142076502732,1.0027322404371584,2.5382513661202184,366,37.85,-122.27,7016.67724394864,556363.889157129,735236.534241465,66154.0501389035,16499.7622031235
22,113900.0,17250.0,52,5.096234309623431,1.1317991631799162,2.1234309623430963,478,37.84,-122.27,5976.28805827603,555535.931447864,734392.514953906,65195.9361857231,15959.4836572213
23,99700.0,21806.0,52,5.193846153846154,1.0369230769230768,2.624615384615385,325,37.84,-122.27,5976.28805827603,555535.931447864,734392.514953906,65195.9361857231,15959.4836572213
24,132600.0,26000.0,52,5.270142180094787,1.0355450236966826,2.3838862559241707,422,37.84,-122.27,5976.28805827603,555535.931447864,734392.514953906,65195.9361857231,15959.4836572213
25,107500.0,24038.0,41,4.495798319327731,1.0336134453781514,2.6638655462184873,119,37.85,-122.28,6781.86317450868,556949.957896058,735808.166775323,66600.7590387803,15751.7939745031
26,93800.0,24597.000000000004,49,4.7280334728033475,1.0209205020920502,2.5397489539748954,239,37.85,-122.28,6781.86317450868,556949.957896058,735808.166775323,66600.7590387803,15751.7939745031
27,105500.0,18080.0,52,4.7808564231738035,1.0604534005037782,2.7758186397984885,397,37.85,-122.28,6781.86317450868,556949.957896058,735808.166775323,66600.7590387803,15751.7939745031
28,108900.0,16424.0,50,4.40169133192389,1.040169133192389,2.3911205073995774,473,37.84,-122.28,5698.72690317439,556122.950063221,734964.878601402,65649.2259004016,15184.818393621
29,132000.0,16875.0,52,4.703225806451613,1.032258064516129,2.5483870967741935,155,37.84,-122.28,5698.72690317439,556122.950063221,734964.878601402,65649.2259004016,15184.818393621
30,122300.0,19274.0,49,5.068783068783069,1.1825396825396826,2.2830687830687832,378,37.84,-122.28,5698.72690317439,556122.950063221,734964.878601402,65649.2259004016,15184.818393621
31,115200.0,19615.0,52,4.882086167800454,1.090702947845805,2.6485260770975056,441,37.84,-122.28,5698.72690317439,556122.950063221,734964.878601402,65649.2259004016,15184.818393621
32,110400.0,17969.0,48,5.737313432835821,1.2208955223880598,3.062686567164179,335,37.84,-122.27,5976.28805827603,555535.931447864,734392.514953906,65195.9361857231,15959.4836572213
33,104900.0,13750.0,49,5.0303951367781155,1.1124620060790273,2.291793313069909,329,37.83,-122.27,4967.00519443677,554708.964381727,733549.20691652,64242.7792072335,15480.3405231102
34,109700.0,27303.0,51,4.972014925373134,1.0708955223880596,2.3470149253731343,536,37.83,-122.27,4967.00519443677,554708.964381727,733549.20691652,64242.7792072335,15480.3405231102
35,97200.0,14861.0,49,4.6022727272727275,1.0681818181818181,2.159090909090909,264,37.83,-122.27,4967.00519443677,554708.964381727,733549.20691652,64242.7792072335,15480.3405231102
36,104500.0,10972.0,48,4.807486631016043,1.1550802139037433,2.6390374331550803,374,37.83,-122.27,4967.00519443677,554708.964381727,733549.20691652,64242.7792072335,15480.3405231102
37,103900.0,14103.000000000002,52,3.7493796526054592,0.967741935483871,2.235732009925558,403,37.83,-122.28,4629.27324947942,555296.934642999,734122.302790399,64702.808723221,14680.3019257283
38,191400.0,34800.0,52,4.757281553398058,1.0679611650485437,2.2297734627831716,309,37.83,-122.26,5427.30174564534,554121.830231293,732976.78393276,63791.6049102007,16288.4761173126
39,176000.0,25898.0,52,3.4942528735632186,1.0272988505747127,1.978448275862069,696,37.83,-122.26,5427.30174564534,554121.830231293,732976.78393276,63791.6049102007,16288.4761173126
40,155400.0,20978.0,52,4.215189873417722,1.0607594936708862,2.3949367088607594,395,37.83,-122.26,5427.30174564534,554121.830231293,732976.78393276,63791.6049102007,16288.4761173126
41,150000.0,12851.999999999998,51,3.7590361445783134,1.248995983935743,2.076305220883534,249,37.83,-122.26,5427.30174564534,554121.830231293,732976.78393276,63791.6049102007,16288.4761173126
42,118800.0,10250.0,49,3.7724867724867726,1.0687830687830688,2.4444444444444446,189,37.84,-122.26,6363.94801261769,554949.749518572,733820.824419216,64751.4638629145,16744.4065835069
43,188800.0,39643.0,52,4.797979797979798,1.02020202020202,2.3585858585858586,198,37.84,-122.26,6363.94801261769,554949.749518572,733820.824419216,64751.4638629145,16744.4065835069
44,184400.0,30125.0,52,4.941780821917808,1.0650684931506849,2.26027397260274,292,37.83,-122.26,5427.30174564534,554121.830231293,732976.78393276,63791.6049102007,16288.4761173126
45,182300.0,26768.0,52,4.335078534031414,1.0994764397905759,1.8795811518324608,382,37.83,-122.26,5427.30174564534,554121.830231293,732976.78393276,63791.6049102007,16288.4761173126
46,142500.0,20259.999999999996,50,3.700657894736842,1.0592105263157894,2.026315789473684,304,37.83,-122.26,5427.30174564534,554121.830231293,732976.78393276,63791.6049102007,16288.4761173126
47,137500.0,17348.0,43,3.9802371541501977,1.233201581027668,2.205533596837945,253,37.82,-122.27,4012.37142896127,553882.992395938,732706.612585184,63294.8031452024,15068.1659493984
48,187500.0,9506.0,40,3.9,1.21875,2.64375,160,37.82,-122.26,4569.92738545906,553294.904246492,732133.456035424,62836.7605992941,15897.3775936094
49,112500.0,17750.0,40,2.6875,1.0653409090909092,1.9886363636363635,352,37.82,-122.27,4012.37142896127,553882.992395938,732706.612585184,63294.8031452024,15068.1659493984
50,171900.0,9218.0,21,2.045662100456621,1.0342465753424657,1.678082191780822,438,37.82,-122.27,4012.37142896127,553882.992395938,732706.612585184,63294.8031452024,15068.1659493984
51,93800.0,15045.0,43,4.58968058968059,1.1203931203931203,2.6068796068796067,407,37.82,-122.27,4012.37142896127,553882.992395938,732706.612585184,63294.8031452024,15068.1659493984
52,97500.0,11108.0,41,4.473611111111111,1.1847222222222222,2.720833333333333,720,37.82,-122.27,4012.37142896127,553882.992395938,732706.612585184,63294.8031452024,15068.1659493984
53,104200.0,12475.0,52,4.075,1.14,2.905,400,37.82,-122.27,4012.37142896127,553882.992395938,732706.612585184,63294.8031452024,15068.1659493984
54,87500.0,16097.999999999998,52,5.021459227467811,1.0085836909871244,3.0085836909871246,233,37.82,-122.28,3585.76569534236,554471.916070705,733280.441797973,63761.7353166999,14244.8825325117
55,83100.0,14113.0,52,4.295454545454546,1.1045454545454545,2.618181818181818,220,37.82,-122.28,3585.76569534236,554471.916070705,733280.441797973,63761.7353166999,14244.8825325117
